School Name,Totals,Boys or Girls,Host Regionals,Host Sectionals,Host Semi-State,Longitude,Latitude
Rushville Consolidated High Sch,742,,,,,-85.4490007,39.6211095
Washington High School,742,,,,,-87.16799499999999,38.6588562
West Lafayette Jr/Sr High Sch,734,,,,,-86.9118518,40.436141
Batesville High School,733,,,,,-85.2340038,39.3109449
Hamilton Heights High School,728,,,,,-86.01554820000001,40.1655542
West Noble High School,723,,,,,-85.58130880000002,41.4258661
Corydon Central High School,716,,,,,-86.1193947,38.2009798
Vincennes Lincoln High School,716,,,,,-87.5000211,38.6509208
Charlestown Senior High Sch,707,,,,,-85.6669034,38.4556156
Crawfordsville Sr High School,702,,,,,-86.90744409999999,40.0209269
Indpls. Bishop Chatard HS,700,,,,,-86.1273429,39.8618738
Indpls. Emmerich Manual High School,696,,,,,-86.1535792,39.7330998
Indpls. Northwest High School,696,,,,,-86.25855399999999,39.81465110000001
Bellmont Senior High School,691,,,,,-84.9072224,40.8355568
Evans. Reitz Memorial HS,690,,,,,-87.53681499999999,37.971318
North Harrison High School,689,,,,,-86.1441722,38.322028
Mishawaka Marian HS,688,,,,,-86.1973249,41.6498136
Hanover Central High Sch,680,,,,,-87.45787899999999,41.3785593
Maconaquah High School,666,,,,,-86.06580300000002,40.651725
Calumet High School,664,,,,,-87.4092115,41.5476375
Peru High School,659,,,,,-86.0728159,40.760488
Mt. Vernon High School,658,,,,,-85.84411,39.901374
Brown County High School,657,,,,,-86.2439528,39.2046253
Gibson Southern High School,654,,,,,-87.6347127,38.2382679
Indpls. Broad Ripple HS for Prfm Arts,635,,,,,-86.137492,39.86849369999999
Indian Creek Sr High Sch,631,,,,,-86.1607531,39.40738020000001
Tri-West Senior High School,624,,,,,-86.54208539999999,39.877131
North Montgomery High School,620,,,,,-86.9068336,40.1246682
Heritage Hills High School,619,,,,,-86.9881688,38.1197533
Lawrenceburg High School,619,,,,,-84.85323079999999,39.0997072
Princeton Comm High Sch,618,,,,,-87.5704815,38.3690032
F.W. Bishop Luers HS,617,,,,,-85.13349219999999,41.0333173
Jimtown High School,605,,,,,-86.02399640000002,41.6372322
Heritage Jr/Sr High School,596,,,,,-84.96250700000002,40.975684
Tippecanoe Valley High School,595,,,,,-86.0393392,41.1095802
Sullivan High School,591,,,,,-87.41130009999999,39.10540659999999
Garrett High School,590,,,,,-85.12719299999999,41.348105
Pike Central High Sch,588,,,,,-87.24238869999999,38.4343374
Benton Central Jr-Sr High Sch,585,,,,,-87.2425641,40.5640606
Knox Community High School,584,,,,,-86.62601430000001,41.2854565
Glenn High School,580,,,,,-86.4799099,41.4574282
Brownstown Central High Sch,577,,,,,-86.0457121,38.8859036
Lakeland High School,577,,,,,-85.4103137,41.6539377
West Vigo High School,577,,,,,-87.4896802,39.4606165
Salem High School,573,,,,,-86.1067916,38.6116598
Fairfield Jr-Sr High School,565,,,,,-85.7679462,41.517725
Indpls. Cardinal Ritter HS,563,,,,,-86.21590429999999,39.8127943
Northwestern Sr High Sch,562,,,,,-86.2050618,40.5254249
Gary Lighthouse Charter School,560,,,,,-87.3572796,41.543413
Blackford High School,558,,,,,-85.37228189999999,40.4848916
Greencastle Senior High Sch,556,,,,,-86.8433368,39.6431741
Wheeler High School,553,,,,,-87.1791144,41.4786881
Southmont Sr High School,550,,,,,-86.90555189999999,39.9472479
South Vermillion High School,546,,,,,-87.41390249999999,39.6886356
Muncie Burris Laboratory School,535,,,,,-85.41227459999999,40.1967204
Woodlan Jr/Sr High School,534,,,,,-84.91912719999999,41.1235004
Rensselaer Central High Sch,531,,,,,-87.13625569999999,40.9345016
Southridge High School,531,,,,,-86.9651751,38.274853
Evansville Mater Dei High School,529,,,,,-87.61586699999998,37.988803
Western Boone Jr-Sr High School,529,,,,,-86.6131316,40.0563338
Hammond Bishop Noll Institute,528,,,,,-87.491937,41.6283089
Monrovia High School,527,,,,,-86.478646,39.5755679
Eastbrook High School,525,,,,,-85.50523280000002,40.5454527
Rochester Community High Sch,524,,,,,-86.2243472,41.0577808
Tipton High School,524,,,,,-86.04006860000001,40.2739755
Speedway Senior High School,523,,,,,-86.252904,39.80084
Manchester Jr-Sr High School,511,,,,,-85.7726668,41.00935810000001
Oak Hill High School,511,,,,,-85.82122869999999,40.5798803
Alexandria-Monroe High School,506,,,,,-85.6782961,40.2520348
Boone Grove High School,499,,,,,-87.1658616,41.3962693
North Posey Sr High Sch,498,,,,,-87.80190569999999,38.1421044
Bremen Senior High School,497,,,,,-86.14192059999999,41.4441506
Andrean High School,492,,,,,-87.33377259999999,41.5102973
Eastern (Greentown) Jr & Sr HS,491,,,,,-85.97085,40.4728487
Mitchell High School,491,,,,,-86.480385,38.7366465
Whitko High School,486,,,,,-85.63544209999999,41.0829323
Frankton Jr-Sr High Sch,480,,,,,-85.7727518,40.2207185
Eastern (Pekin) High Sch,473,,,,,-86.0014731,38.5146014
Lapel Sr High School,470,,,,,-85.8404654,40.0773686
Paoli Jr & Sr High Sch,468,,,,,-86.47735259999999,38.5503789
Triton Central High School,468,,,,,-85.8735445,39.611196
Cass Jr-Sr High School,466,,,,,-86.2514139,40.6627281
Clarksville Senior High Sch,464,,,,,-85.76730529999999,38.2990366
Centerville Sr High School,463,,,,,-84.9991623,39.8131337
Gary Roosevelt Car & Tech Acad,458,,,,,-87.3455261,41.5733508
Cascade Senior High School,457,,,,,-86.559061,39.665807
Crawford County Jr-Sr HS,457,,,,,-86.35296799999999,38.319303
Indpls. George Washington Community,457,,,,,-86.1991647,39.7655047
North Putnam Sr High Sch,456,,,,,-86.8010151,39.7892971
Indpls. Scecina Memorial School,449,,,,,-86.08534809999999,39.78704219999999
Bowman Leadership Academy,447,,,,,-87.349441,41.5996678
Elwood Community High School,447,,,,,-85.83553599999999,40.2904229
Winchester Community High Sch,446,,,,,-84.97506829999999,40.1810243
