School Name,Totals,Participation,Host Sectionals,Host Regionals,Host Semi-State,Longitude,Latitude
West Washington Jr-Sr HS,257,1,0,0,0,-86.234466,38.583932
Providence Cristo Rey HS,255,1,0,0,0,-86.2024856,39.7676282
Lanesville Jr-Sr HS,253,1,0,0,0,-85.9888677,38.2394083
Indpls. Lutheran High School,251,1,0,0,0,-86.0622193,39.6874613
Clay City Jr-Sr High School,249,1,0,0,0,-87.1100096,39.2795639
Culver Community High Sch,249,1,0,0,0,-86.4252158,41.2238137
Anderson Preparatory Academy,247,1,0,0,0,-85.6804128,40.0864699
North Vermillion High School,245,1,0,0,0,-87.4525917,39.9676332
Morgan Township Middle/High School,244,1,0,0,0,-87.024659,41.392245
Christian Academy of Indiana,241,1,0,0,0,-85.8289458,38.3257356
F.W. Blackhawk Christian Jr-Sr HS,241,1,0,0,0,-85.0457197,41.1050294
Shakamak Jr-Sr High Sch,240,1,0,0,0,-87.0466035,39.0352946
Cowan High School,238,1,0,0,0,-85.3932711,40.1077418
Tri-County Middle-Senior High,234,1,0,0,0,-87.0855283,40.736303
Rising Sun High School,233,1,0,0,0,-84.8595567,38.9501149
Christel House Academy,232,1,0,0,0,-86.1482727,39.7278877
Borden High School,230,1,0,0,0,-85.9477132,38.4694128
Bloomfield Jr-Sr High School,228,1,0,0,0,-86.946704,39.025011
Caston Jr-Sr High Sch,228,1,0,0,0,-86.2821952,40.9116983
Southwestern (Shelby) High School,227,1,0,0,0,-85.8450396,39.4382614
Orleans Jr-Sr High Sch,226,1,0,0,0,-86.4544227,38.6678802
New Washington Middle/High School,225,1,0,0,0,-85.541407,38.5656272
Rockville Jr-Sr High School,224,1,0,0,0,-87.2331699,39.768405
Attica High School,223,1,0,0,0,-87.250629,40.277395
South Newton Senior High Sch,220,1,0,0,0,-87.3843312,40.8079239
South Central (Elizabeth) Jr & Sr HS,212,1,0,0,0,-86.0018116,38.0820991
Oldenburg Academy,210,1,0,0,0,-85.2007007,39.3425846
Barr Reeve Jr-Sr High School,203,1,0,0,0,-87.049189,38.668275
Faith Christian School,203,1,0,0,0,-86.7983328,40.4187056
Frontier Jr-Sr High School,202,1,0,0,0,-86.862799,40.6642995
Argos Comm Jr-Sr High School,198,1,0,0,0,-86.2503224,41.24131
Morristown Jr-Sr High School,194,1,0,0,0,-85.7017433,39.6725742
Blue River Valley Jr-Sr HS,186,1,0,0,0,-85.328867,40.001838
Lakewood Park Christian Sch,186,1,0,0,0,-85.0466916,41.3320724
Elkhart Christian Academy,185,1,0,0,0,-85.9633077,41.6394979
Indiana Math & Science Academy,185,1,0,0,0,-86.1209423,39.8898852
Oregon-Davis Jr-Sr High School,182,1,0,0,0,-86.552251,41.388466
Greenwood Christian Academy,180,1,0,0,0,-86.122723,39.584151
Shoals Comm Jr-Sr High Sch,177,1,0,0,0,-86.7776262,38.6674378
