School Name,Totals,Boys or Girls,Host Regionals,Host Sectionals,Host Semi-State,Longitude,Latitude
Frontier Jr-Sr High School,202,,,,,,
Argos Comm Jr-Sr High School,198,,,,,,
Morristown Jr-Sr High School,194,,,,,,
Blue River Valley Jr-Sr HS,186,,,,,,
Lakewood Park Christian Sch,186,,,,,,
Elkhart Christian Academy,185,,,,,,
Indiana Math & Science Academy,185,,,,,,
Oregon-Davis Jr-Sr High School,182,,,,,,
Greenwood Christian Academy,180,,,,,,
Shoals Comm Jr-Sr High Sch,177,,,,,,
Randolph Southern Jr-Sr High Sch,172,,,,,,
International Sch of Indiana HS,165,,,,,,
Waldron Jr-Sr High School,163,,,,,,
Turkey Run High School,159,,,,,,
Liberty Christian School,150,,,,,,
Bethany Christian School,148,,,,,,
Trinity Lutheran HS,142,,,,,,
Rock Creek Community Academy,137,,,,,,
Hamilton Community High Sch,121,,,,,,
Crothersville Jr-Sr High School,120,,,,,,
LaCrosse Elem & High School,118,,,,,,
Eminence Jr-Sr High School,116,,,,,,
Indiana School For The Deaf,115,,,,,,
Shawe Memorial HS,109,,,,,,
Union (Modoc) Junior & High School,107,,,,,,
Bethesda Christian School,106,,,,,,
Covenant Christian (DeMotte) HS,99,,,,,,
Lakeland Christian Academy,99,,,,,,
Vincennes Rivet Middle & HS,98,,,,,,
Traders Point Christian Academy *,96,,,,,,
Seton Catholic High School,92,,,,,,
Evans. Day School,81,,,,,,
Cannelton Elem & High School,73,,,,,,
Medora Jr & Sr High School,73,,,,,,
Washington Catholic Mid/HS,71,,,,,,
Central Christian Academy,58,,,,,,
Indiana School For The Blind,57,,,,,,
Smith Academy for Excellence,33,,,,,,
